texto,emocao
O descaso das pessoas me deixa irado.,raiva
Alguém não lavou as mãos após usar o banheiro.,nojo
Tenho medo de perder quem amo!,medo
Alguém nos enviou flores anonimanosnte.,surpresa
Ganhei uma festa surpresa dos meus colegas.,surpresa
Recebi uma resposta inesperada de uma celebridade.,surpresa
Vi uma promoção imperdível na loja.,surpresa
Recebi uma notícia ruim sobre um amigo.,tristeza
Chorei assistindo a um vídeo emocionante.,tristeza
Presenciei falta de higiene na cozinha do restaurante.,nojo
Meu computador travou no pior momento possível!,raiva
Recebi uma cobrança injusta e fiquei indignado.,raiva
Ganhei um presente sem data comemorativa.,surpresa
O trânsito caótico me tirou do sério.,raiva
Sinto um frio na barriga antes de apresentações.,medo
Andar de elevador nos deixa desconfortável.,medo
O banheiro público estava em condições deploráveis.,nojo
Participei de um evento divertido no fim de semana.,alegria
Fui escolhido para liderar o projeto de repente.,surpresa
Tive contato com lixo acumulado!,nojo
Presenciei falta de higiene na cozinha do restaurante.,nojo
A comida estava deliciosa, fiquei satisfeito!,alegria
Recebi uma mensagem animadora ontem cedo.,alegria
Estava apreensivo antes da cirurgia.,medo
Senti um vazio ao ver um local importante fechado!,tristeza
Assisti a um filme que me fez dar muitas risadas!,alegria
Discuti feio com um familiar.,raiva
O reencontro com velhos amigos nos encheu de felicidade.,alegria
O descaso das pessoas me deixa irado.,raiva
Recebi uma notícia ruim sobre um amigo.,tristeza
O trânsito caótico me tirou do sério.,raiva
Fiquei tenso durante a tempestade.,medo
Aprendi algo novo e isso me deixou empolgado!,alegria
O banheiro público estava em condições deploráveis!,nojo
Alguém nos passou para trás no trabalho.,raiva
Vi uma criança brincando e sorri espontaneamente.,alegria
Alguém não lavou as mãos após usar o banheiro.,nojo
Ganhei uma festa surpresa dos meus colegas.,surpresa
Fui reprovado em uma prova e chorei.,tristeza
Assisti a um filme que me fez dar muitas risadas!,alegria
A comida estava deliciosa, fiquei satisfeito.,alegria
Vi alguém cuspindo no chão!,nojo
Vi alguém cuspindo no chão.,nojo
Vi água parada cheia de larvas.,nojo
Presenciei falta de higiene na cozinha do restaurante.,nojo
Meu computador travou no pior momento possível.,raiva
Vi um animal morto na rua e nos arrepiei.,nojo
Recebi uma cobrança injusta e fiquei indignado!,raiva
Recebi uma resposta inesperada de uma celebridade.,surpresa
Comi algo estragado e senti náusea instantânea!,nojo
Fiquei tenso durante a tempestade.,medo
Alguém nos reconheceu de um lugar improvável.,surpresa
Ouvi barulhos estranhos enquanto estava sozinho!,medo
Alguém me passou para trás no trabalho.,raiva
Recebi uma nosnsagem animadora hoje cedo.,alegria
Alguém me enviou flores anonimamente.,surpresa
Fui vítima de fofoca e fiquei furioso.,raiva
Completei meu objetivo e fiquei muito contente.,alegria
Tive pesadelos que me deixaram assustado.,medo
Recebi uma resposta inesperada de uma celebridade.,surpresa
Vi um animal morto na rua e me arrepiei.,nojo
O descaso das pessoas me deixa irado.,raiva
Recebi uma cobrança injusta e fiquei indignado.,raiva
A comida estava deliciosa, fiquei satisfeito.,alegria
A comida estava deliciosa, fiquei satisfeito.,alegria
Recebi uma nosnsagem animadora hoje cedo.,alegria
O trânsito caótico me tirou do sério!,raiva
Recebi uma cobrança injusta e fiquei indignado.,raiva
Recebi uma resposta inesperada de uma celebridade.,surpresa
O céu nublado refletiu meu estado de espírito!,tristeza
Testemunhei uma injustiça na rua e gritei.,raiva
Vi uma promoção imperdível na loja!,surpresa
Alguém me reconheceu de um lugar improvável.,surpresa
Ouvi barulhos estranhos enquanto estava sozinho.,medo
O reencontro com velhos amigos me encheu de felicidade.,alegria
As lembranças antigas me fizeram sentir saudade!,tristeza
Descobri que passei na prova sem esperar.,surpresa
Recebi uma notícia ruim sobre um amigo.,tristeza
Vi uma promoção imperdível na loja!,surpresa
Alguém me passou para trás no trabalho.,raiva
Fui abordado na rua à noite e senti calafrios!,medo
O trânsito caótico nos tirou do sério.,raiva
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Sinto um frio na barriga antes de apresentações.,medo
Participei de um evento divertido no fim de semana!,alegria
Ouvi barulhos estranhos enquanto estava sozinho.,medo
As lembranças antigas me fizeram sentir saudade!,tristeza
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Chorei assistindo a um vídeo emocionante.,tristeza
Tive pesadelos que nos deixaram assustado.,medo
O banheiro público estava em condições deploráveis.,nojo
Ganhei uma promoção no trabalho e conosmorei bastante.,alegria
Assisti a um espetáculo com final surpreendente!,surpresa
Fiquei tenso durante a tempestade.,medo
Chorei assistindo a um vídeo emocionante!,tristeza
Descobri comida velha no fundo da geladeira.,nojo
Ganhei uma festa surpresa dos nosus colegas.,surpresa
O céu nublado refletiu meu estado de espírito.,tristeza
Assisti a um espetáculo com final surpreendente.,surpresa
A comida estava deliciosa, fiquei satisfeito.,alegria
Descobri que passei na prova sem esperar!,surpresa
Fiquei tenso durante a tempestade.,medo
Comi algo estragado e senti náusea instantânea.,nojo
Meu computador travou no pior momento possível!,raiva
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Assisti a um filnos que nos fez dar muitas risadas.,alegria
Perdi nosu objeto favorito e fiquei arrasado.,tristeza
O banheiro público estava em condições deploráveis!,nojo
Fui escolhido para liderar o projeto de repente.,surpresa
Tenho medo de perder quem amo!,medo
Tive pânico ao ficar preso no elevador.,medo
Tive pânico ao ficar preso no elevador.,medo
Tive contato com lixo acumulado.,nojo
As lembranças antigas nos fizeram sentir saudade.,tristeza
Vi uma criança brincando e sorri espontaneamente!,alegria
O céu nublado refletiu meu estado de espírito!,tristeza
Chorei assistindo a um vídeo emocionante.,tristeza
Assisti a um filme que me fez dar muitas risadas.,alegria
O cheiro de mofo no ambiente era insuportável.,nojo
Aprendi algo novo e isso me deixou empolgado!,alegria
Recebi uma cobrança injusta e fiquei indignado.,raiva
Ganhei uma promoção no trabalho e comemorei bastante!,alegria
Fui reprovado em uma prova e chorei.,tristeza
Chorei assistindo a um vídeo emocionante.,tristeza
Vi uma criança brincando e sorri espontaneamente!,alegria
Me senti inseguro ao atravessar aquela ponte.,medo
Vi alguém cuspindo no chão.,nojo
O cheiro de mofo no ambiente era insuportável!,nojo
Descobri comida velha no fundo da geladeira.,nojo
Me interromperam várias vezes e perdi a paciência.,raiva
Ganhei uma festa surpresa dos meus colegas.,surpresa
Fiquei tenso durante a tempestade.,medo
Estava apreensivo antes da cirurgia.,medo
Fui chamado no palco sem aviso prévio.,surpresa
Vi um animal morto na rua e me arrepiei!,nojo
Chorei assistindo a um vídeo emocionante!,tristeza
Estava apreensivo antes da cirurgia.,medo
O cheiro de mofo no ambiente era insuportável.,nojo
Me senti inseguro ao atravessar aquela ponte.,medo
Fui escolhido para liderar o projeto de repente.,surpresa
Meu time perdeu por causa de um erro absurdo.,raiva
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Recebi uma cobrança injusta e fiquei indignado.,raiva
Andar de elevador me deixa desconfortável.,medo
Senti um vazio ao ver um local importante fechado!,tristeza
Fui vítima de fofoca e fiquei furioso!,raiva
Alguém me passou para trás no trabalho.,raiva
O banheiro público estava em condições deploráveis!,nojo
Descobri que passei na prova sem esperar.,surpresa
Fui reprovado em uma prova e chorei.,tristeza
Chorei assistindo a um vídeo emocionante.,tristeza
Tive contato com lixo acumulado.,nojo
Fui escolhido para liderar o projeto de repente.,surpresa
Meu computador travou no pior momento possível.,raiva
Testemunhei uma injustiça na rua e gritei!,raiva
Andar de elevador me deixa desconfortável!,medo
Tive pânico ao ficar preso no elevador.,medo
Senti um vazio ao ver um local importante fechado.,tristeza
Tenho medo de perder quem amo.,medo
Uma ligação me deixou pensativo e triste.,tristeza
Comi algo estragado e senti náusea instantânea.,nojo
Vi alguém cuspindo no chão.,nojo
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Ganhei elogios inesperados e isso alegrou meu dia!,alegria
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Alguém não lavou as mãos após usar o banheiro!,nojo
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Alguém não lavou as mãos após usar o banheiro!,nojo
Assisti a um filme que me fez dar muitas risadas.,alegria
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Recebi uma mensagem animadora hoje cedo.,alegria
O descaso das pessoas me deixa irado.,raiva
Me senti inseguro ao atravessar aquela ponte!,medo
Perdi meu objeto favorito e fiquei arrasado!,tristeza
Me senti inseguro ao atravessar aquela ponte.,medo
O cheiro de mofo no ambiente era insuportável!,nojo
O banheiro público estava em condições deploráveis.,nojo
Alguém me passou para trás no trabalho.,raiva
O céu nublado refletiu meu estado de espírito.,tristeza
Senti um vazio ao ver um local importante fechado!,tristeza
Recebi uma resposta inesperada de uma celebridade.,surpresa
Ouvi barulhos estranhos enquanto estava sozinho.,medo
As lembranças antigas me fizeram sentir saudade!,tristeza
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Recebi uma mensagem animadora hoje cedo.,alegria
Aprendi algo novo e isso nos deixou empolgado.,alegria
Fui vítima de fofoca e fiquei furioso!,raiva
Me senti inseguro ao atravessar aquela ponte.,medo
Fiquei tenso durante a tempestade!,medo
Descobri que passei na prova sem esperar.,surpresa
Vi uma promoção imperdível na loja!,surpresa
Comi algo estragado e senti náusea instantânea.,nojo
Alguém me enviou flores anonimamente!,surpresa
Completei meu objetivo e fiquei muito contente.,alegria
Alguém nos passou para trás no trabalho.,raiva
Vi um animal morto na rua e me arrepiei.,nojo
O descaso das pessoas me deixa irado!,raiva
Discuti feio com um familiar!,raiva
Fui vítima de fofoca e fiquei furioso.,raiva
Completei nosu objetivo e fiquei muito contente.,alegria
Andar de elevador me deixa desconfortável.,medo
Senti um vazio ao ver um local importante fechado.,tristeza
Completei meu objetivo e fiquei muito contente!,alegria
Me senti inseguro ao atravessar aquela ponte.,medo
Aprendi algo novo e isso me deixou empolgado.,alegria
Discuti feio com um familiar.,raiva
O descaso das pessoas me deixa irado!,raiva
Assisti a um espetáculo com final surpreendente.,surpresa
Recebi uma mensagem animadora ontem cedo.,alegria
Meu time perdeu por causa de um erro absurdo!,raiva
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Testemunhei uma injustiça na rua e gritei.,raiva
Tive pesadelos que nos deixaram assustado.,medo
Recebi uma mensagem animadora hoje cedo!,alegria
O céu nublado refletiu nosu estado de espírito.,tristeza
Alguém me reconheceu de um lugar improvável.,surpresa
Discuti feio com um familiar.,raiva
Vi uma promoção imperdível na loja.,surpresa
Fui chamado no palco sem aviso prévio!,surpresa
O cheiro de mofo no ambiente era insuportável.,nojo
Alguém me enviou flores anonimamente!,surpresa
Sinto um frio na barriga antes de apresentações.,medo
Fui vítima de fofoca e fiquei furioso!,raiva
O descaso das pessoas me deixa irado!,raiva
Ganhei uma promoção no trabalho e comemorei bastante!,alegria
Vi um animal morto na rua e me arrepiei.,nojo
Comi algo estragado e senti náusea instantânea.,nojo
Sinto um frio na barriga antes de apresentações.,medo
Alguém nos reconheceu de um lugar improvável.,surpresa
Recebi uma notícia ruim sobre um amigo.,tristeza
Ganhei um presente sem data comemorativa.,surpresa
Alguém nos passou para trás no trabalho.,raiva
O trânsito caótico me tirou do sério.,raiva
Fui vítima de fofoca e fiquei furioso!,raiva
Ganhei uma festa surpresa dos meus colegas.,surpresa
Assisti a um espetáculo com final surpreendente.,surpresa
Recebi uma mensagem animadora ontem cedo.,alegria
Fiquei tenso durante a tempestade.,medo
Ganhei uma festa surpresa dos meus colegas.,surpresa
Alguém me reconheceu de um lugar improvável.,surpresa
Ganhei uma promoção no trabalho e comemorei bastante!,alegria
Alguém nos enviou flores anonimanosnte.,surpresa
Ganhei elogios inesperados e isso alegrou nosu dia.,alegria
Recebi uma mensagem animadora ontem cedo.,alegria
Fui vítima de fofoca e fiquei furioso!,raiva
Vi uma criança brincando e sorri espontaneanosnte.,alegria
Ganhei elogios inesperados e isso alegrou nosu dia.,alegria
Meu computador travou no pior monosnto possível.,raiva
Assisti a um espetáculo com final surpreendente!,surpresa
A comida estava deliciosa, fiquei satisfeito!,alegria
Discuti feio com um familiar!,raiva
Recebi uma resposta inesperada de uma celebridade!,surpresa
Testemunhei uma injustiça na rua e gritei.,raiva
Discuti feio com um familiar.,raiva
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Recebi uma mensagem animadora ontem cedo.,alegria
Recebi uma notícia ruim sobre um amigo.,tristeza
Discuti feio com um familiar.,raiva
Ganhei uma promoção no trabalho e conosmorei bastante.,alegria
Recebi uma resposta inesperada de uma celebridade!,surpresa
A comida estava deliciosa, fiquei satisfeito.,alegria
Assisti a um filme que me fez dar muitas risadas.,alegria
O cheiro de mofo no ambiente era insuportável.,nojo
Recebi uma resposta inesperada de uma celebridade.,surpresa
O cheiro de mofo no ambiente era insuportável!,nojo
Ganhei uma festa surpresa dos meus colegas.,surpresa
O céu nublado refletiu meu estado de espírito!,tristeza
A comida estava deliciosa, fiquei satisfeito.,alegria
Alguém me passou para trás no trabalho.,raiva
Uma ligação me deixou pensativo e triste.,tristeza
Discuti feio com um familiar.,raiva
Estava apreensivo antes da cirurgia.,medo
Fui abordado na rua à noite e senti calafrios.,medo
Alguém me reconheceu de um lugar improvável.,surpresa
Alguém não lavou as mãos após usar o banheiro.,nojo
Presenciei falta de higiene na cozinha do restaurante!,nojo
Ganhei um presente sem data comemorativa!,surpresa
Assisti a um espetáculo com final surpreendente.,surpresa
Vi água parada cheia de larvas.,nojo
Participei de um evento divertido no fim de semana.,alegria
Tive contato com lixo acumulado!,nojo
O descaso das pessoas nos deixa irado.,raiva
Assisti a um espetáculo com final surpreendente!,surpresa
Uma ligação nos deixou pensativo e triste.,tristeza
O céu nublado refletiu meu estado de espírito.,tristeza
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Meu tinos perdeu por causa de um erro absurdo.,raiva
Fui abordado na rua à noite e senti calafrios!,medo
Assisti a um espetáculo com final surpreendente.,surpresa
Tive pânico ao ficar preso no elevador.,medo
Chorei assistindo a um vídeo emocionante.,tristeza
As lembranças antigas me fizeram sentir saudade.,tristeza
Ganhei uma festa surpresa dos meus colegas.,surpresa
Alguém me enviou flores anonimamente.,surpresa
Fui abordado na rua à noite e senti calafrios.,medo
Tive pesadelos que me deixaram assustado.,medo
Não consegui dormir bem e acordei cabisbaixo!,tristeza
Estava apreensivo antes da cirurgia.,medo
Não consegui dormir bem e acordei cabisbaixo!,tristeza
Fui reprovado em uma prova e chorei.,tristeza
O banheiro público estava em condições deploráveis.,nojo
Andar de elevador nos deixa desconfortável.,medo
Ganhei um presente sem data conosmorativa.,surpresa
Aprendi algo novo e isso nos deixou empolgado.,alegria
Ganhei uma festa surpresa dos meus colegas.,surpresa
Meu time perdeu por causa de um erro absurdo.,raiva
A despedida no aeroporto foi muito difícil para mim.,tristeza
Vi uma promoção imperdível na loja.,surpresa
Alguém me enviou flores anonimamente.,surpresa
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Fiquei tenso durante a tempestade!,medo
Fui abordado na rua à noite e senti calafrios.,medo
Recebi uma notícia ruim sobre um amigo.,tristeza
Recebi uma cobrança injusta e fiquei indignado!,raiva
Andar de elevador me deixa desconfortável.,medo
Vi um animal morto na rua e me arrepiei.,nojo
Recebi uma notícia ruim sobre um amigo!,tristeza
Fui abordado na rua à noite e senti calafrios.,medo
Me senti inseguro ao atravessar aquela ponte.,medo
Testemunhei uma injustiça na rua e gritei.,raiva
Tive pesadelos que me deixaram assustado.,medo
Ganhei elogios inesperados e isso alegrou nosu dia.,alegria
Ganhei um presente sem data comemorativa.,surpresa
Fiquei tenso durante a tempestade.,medo
Meu computador travou no pior monosnto possível.,raiva
Meu time perdeu por causa de um erro absurdo!,raiva
Alguém não lavou as mãos após usar o banheiro!,nojo
Descobri que passei na prova sem esperar.,surpresa
Alguém nos reconheceu de um lugar improvável.,surpresa
Assisti a um espetáculo com final surpreendente.,surpresa
A despedida no aeroporto foi muito difícil para mim.,tristeza
Descobri comida velha no fundo da geladeira.,nojo
Vi alguém cuspindo no chão.,nojo
Participei de um evento divertido no fim de semana.,alegria
Fui reprovado em uma prova e chorei!,tristeza
Aprendi algo novo e isso nos deixou empolgado.,alegria
As lembranças antigas me fizeram sentir saudade.,tristeza
Recebi uma resposta inesperada de uma celebridade.,surpresa
O cheiro de mofo no ambiente era insuportável.,nojo
Fui vítima de fofoca e fiquei furioso.,raiva
Vi uma promoção imperdível na loja.,surpresa
Chorei assistindo a um vídeo emocionante.,tristeza
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Completei nosu objetivo e fiquei muito contente.,alegria
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Tive pesadelos que me deixaram assustado!,medo
Recebi uma cobrança injusta e fiquei indignado.,raiva
Completei meu objetivo e fiquei muito contente.,alegria
Tenho medo de perder quem amo!,medo
Ganhei uma festa surpresa dos meus colegas.,surpresa
Fui reprovado em uma prova e chorei.,tristeza
Vi alguém cuspindo no chão!,nojo
Uma ligação me deixou pensativo e triste.,tristeza
Vi uma promoção imperdível na loja.,surpresa
Vi água parada cheia de larvas.,nojo
Vi alguém cuspindo no chão.,nojo
Meu time perdeu por causa de um erro absurdo.,raiva
O céu nublado refletiu nosu estado de espírito.,tristeza
Não consegui dormir bem e acordei cabisbaixo!,tristeza
Sinto um frio na barriga antes de apresentações.,medo
Discuti feio com um familiar.,raiva
Senti um vazio ao ver um local importante fechado!,tristeza
Vi alguém cuspindo no chão.,nojo
Fiquei tenso durante a tempestade.,medo
O reencontro com velhos amigos me encheu de felicidade.,alegria
Fui abordado na rua à noite e senti calafrios.,medo
A despedida no aeroporto foi muito difícil para mim.,tristeza
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Estava apreensivo antes da cirurgia!,medo
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Sinto um frio na barriga antes de apresentações!,medo
Fui vítima de fofoca e fiquei furioso!,raiva
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Andar de elevador me deixa desconfortável.,medo
A despedida no aeroporto foi muito difícil para mim.,tristeza
Descobri comida velha no fundo da geladeira.,nojo
Recebi uma mensagem animadora hoje cedo!,alegria
Descobri que passei na prova sem esperar.,surpresa
Me interromperam várias vezes e perdi a paciência.,raiva
Descobri que passei na prova sem esperar.,surpresa
Tenho medo de perder quem amo!,medo
Descobri comida velha no fundo da geladeira.,nojo
Vi água parada cheia de larvas.,nojo
Completei meu objetivo e fiquei muito contente.,alegria
O trânsito caótico me tirou do sério!,raiva
Ganhei uma promoção no trabalho e comemorei bastante.,alegria
Completei nosu objetivo e fiquei muito contente.,alegria
Recebi uma mensagem animadora hoje cedo.,alegria
Vi água parada cheia de larvas!,nojo
O trânsito caótico me tirou do sério.,raiva
O reencontro com velhos amigos me encheu de felicidade.,alegria
Recebi uma resposta inesperada de uma celebridade.,surpresa
A comida estava deliciosa, fiquei satisfeito.,alegria
Ouvi barulhos estranhos enquanto estava sozinho!,medo
O banheiro público estava em condições deploráveis.,nojo
Vi uma promoção imperdível na loja.,surpresa
Testemunhei uma injustiça na rua e gritei.,raiva
Presenciei falta de higiene na cozinha do restaurante.,nojo
Ganhei elogios inesperados e isso alegrou meu dia.,alegria
Descobri que passei na prova sem esperar.,surpresa
Completei meu objetivo e fiquei muito contente.,alegria
Vi alguém cuspindo no chão.,nojo
O reencontro com velhos amigos nos encheu de felicidade.,alegria
Vi uma promoção imperdível na loja.,surpresa
Descobri comida velha no fundo da geladeira.,nojo
Estava apreensivo antes da cirurgia.,medo
O trânsito caótico me tirou do sério.,raiva
Chorei assistindo a um vídeo emocionante.,tristeza
Alguém me passou para trás no trabalho!,raiva
Participei de um evento divertido no fim de semana.,alegria
Estava apreensivo antes da cirurgia.,medo
O reencontro com velhos amigos nos encheu de felicidade.,alegria
Uma ligação me deixou pensativo e triste!,tristeza
Alguém me passou para trás no trabalho.,raiva
Ganhei uma festa surpresa dos nosus colegas.,surpresa
Completei meu objetivo e fiquei muito contente.,alegria
Descobri comida velha no fundo da geladeira.,nojo
Tive pesadelos que me deixaram assustado.,medo
Fui vítima de fofoca e fiquei furioso.,raiva
Meu time perdeu por causa de um erro absurdo.,raiva
O trânsito caótico nos tirou do sério.,raiva
Tenho nosdo de perder quem amo.,medo
Recebi uma resposta inesperada de uma celebridade.,surpresa
Ganhei elogios inesperados e isso alegrou meu dia!,alegria
O descaso das pessoas me deixa irado.,raiva
As lembranças antigas me fizeram sentir saudade.,tristeza
O trânsito caótico me tirou do sério.,raiva
Fiquei tenso durante a tempestade!,medo
Tive contato com lixo acumulado!,nojo
Recebi uma nosnsagem animadora hoje cedo.,alegria
Ganhei elogios inesperados e isso alegrou meu dia!,alegria
Assisti a um filme que me fez dar muitas risadas.,alegria
A despedida no aeroporto foi muito difícil para mim!,tristeza
Participei de um evento divertido no fim de semana!,alegria
Tenho medo de perder quem amo.,medo
Perdi meu objeto favorito e fiquei arrasado!,tristeza
Assisti a um filme que me fez dar muitas risadas.,alegria
Aprendi algo novo e isso me deixou empolgado.,alegria
Fui reprovado em uma prova e chorei.,tristeza
Testemunhei uma injustiça na rua e gritei.,raiva
Tive contato com lixo acumulado.,nojo
Não consegui dormir bem e acordei cabisbaixo.,tristeza
Me interromperam várias vezes e perdi a paciência.,raiva
Assisti a um espetáculo com final surpreendente.,surpresa
O reencontro com velhos amigos me encheu de felicidade.,alegria
Recebi uma notícia ruim sobre um amigo.,tristeza
Alguém me enviou flores anonimamente!,surpresa
Fiquei tenso durante a tempestade.,medo
Assisti a um filme que me fez dar muitas risadas.,alegria
As lembranças antigas me fizeram sentir saudade.,tristeza
Tenho medo de perder quem amo!,medo
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Vi uma promoção imperdível na loja.,surpresa
Senti um vazio ao ver um local importante fechado.,tristeza
Presenciei falta de higiene na cozinha do restaurante.,nojo
Ganhei uma promoção no trabalho e comemorei bastante.,alegria
Fui vítima de fofoca e fiquei furioso.,raiva
O reencontro com velhos amigos me encheu de felicidade.,alegria
Testemunhei uma injustiça na rua e gritei!,raiva
Alguém não lavou as mãos após usar o banheiro.,nojo
Vi uma criança brincando e sorri espontaneanosnte.,alegria
Chorei assistindo a um vídeo emocionante.,tristeza
Comi algo estragado e senti náusea instantânea!,nojo
Tenho nosdo de perder quem amo.,medo
Meu computador travou no pior momento possível.,raiva
Vi uma promoção imperdível na loja.,surpresa
Me interromperam várias vezes e perdi a paciência.,raiva
Recebi uma cobrança injusta e fiquei indignado.,raiva
A despedida no aeroporto foi muito difícil para mim.,tristeza
Tive pesadelos que me deixaram assustado.,medo
Presenciei falta de higiene na cozinha do restaurante.,nojo
Tenho medo de perder quem amo.,medo
Recebi uma resposta inesperada de uma celebridade.,surpresa
A comida estava deliciosa, fiquei satisfeito.,alegria
A despedida no aeroporto foi muito difícil para mim.,tristeza
Tive pesadelos que nos deixaram assustado.,medo
Alguém me reconheceu de um lugar improvável!,surpresa
O cheiro de mofo no ambiente era insuportável.,nojo
A comida estava deliciosa, fiquei satisfeito.,alegria
Presenciei falta de higiene na cozinha do restaurante.,nojo
Ganhei elogios inesperados e isso alegrou nosu dia.,alegria
Presenciei falta de higiene na cozinha do restaurante.,nojo
O banheiro público estava em condições deploráveis!,nojo
Meu computador travou no pior momento possível.,raiva
Meu computador travou no pior momento possível!,raiva
Recebi uma resposta inesperada de uma celebridade.,surpresa
Completei meu objetivo e fiquei muito contente.,alegria
Fui abordado na rua à noite e senti calafrios.,medo
Presenciei falta de higiene na cozinha do restaurante.,nojo
O banheiro público estava em condições deploráveis!,nojo
A comida estava deliciosa, fiquei satisfeito.,alegria
Recebi uma cobrança injusta e fiquei indignado.,raiva
Uma ligação me deixou pensativo e triste.,tristeza
Vi uma criança brincando e sorri espontaneamente.,alegria
Recebi uma cobrança injusta e fiquei indignado.,raiva
Fui reprovado em uma prova e chorei!,tristeza
Tenho medo de perder quem amo.,medo
Discuti feio com um familiar.,raiva
Recebi uma notícia ruim sobre um amigo!,tristeza
Tive pânico ao ficar preso no elevador.,medo
O céu nublado refletiu meu estado de espírito!,tristeza
Participei de um evento divertido no fim de semana!,alegria
Aprendi algo novo e isso nos deixou empolgado.,alegria
Meu computador travou no pior momento possível.,raiva
Tive contato com lixo acumulado.,nojo
Vi um animal morto na rua e me arrepiei.,nojo
Recebi uma notícia ruim sobre um amigo.,tristeza
Ouvi barulhos estranhos enquanto estava sozinho.,medo
O céu nublado refletiu nosu estado de espírito.,tristeza
Completei meu objetivo e fiquei muito contente.,alegria
Alguém nos passou para trás no trabalho.,raiva
Fui reprovado em uma prova e chorei.,tristeza
Tive contato com lixo acumulado.,nojo
Fui chamado no palco sem aviso prévio!,surpresa
Tive contato com lixo acumulado.,nojo
A despedida no aeroporto foi muito difícil para mim!,tristeza
Comi algo estragado e senti náusea instantânea.,nojo
Estava apreensivo antes da cirurgia.,medo
Senti um vazio ao ver um local importante fechado.,tristeza
Perdi meu objeto favorito e fiquei arrasado.,tristeza
Recebi uma mensagem animadora ontem cedo.,alegria
Completei meu objetivo e fiquei muito contente.,alegria
O trânsito caótico nos tirou do sério.,raiva
Ganhei elogios inesperados e isso alegrou nosu dia.,alegria
Ganhei uma promoção no trabalho e comemorei bastante!,alegria
Discuti feio com um familiar.,raiva
Testemunhei uma injustiça na rua e gritei.,raiva
Andar de elevador nos deixa desconfortável.,medo
Fui abordado na rua à noite e senti calafrios!,medo
Ganhei uma promoção no trabalho e comemorei bastante!,alegria
Presenciei falta de higiene na cozinha do restaurante.,nojo
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Me interromperam várias vezes e perdi a paciência.,raiva
O descaso das pessoas nos deixa irado.,raiva
Fui reprovado em uma prova e chorei.,tristeza
Vi alguém cuspindo no chão.,nojo
Me senti inseguro ao atravessar aquela ponte!,medo
Assisti a um filme que me fez dar muitas risadas!,alegria
Descobri que passei na prova sem esperar.,surpresa
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Participei de um evento divertido no fim de semana.,alegria
Comi algo estragado e senti náusea instantânea!,nojo
Fui reprovado em uma prova e chorei!,tristeza
As lembranças antigas me fizeram sentir saudade.,tristeza
Participei de um evento divertido no fim de semana.,alegria
Descobri que passei na prova sem esperar.,surpresa
Senti um vazio ao ver um local importante fechado.,tristeza
Comi algo estragado e senti náusea instantânea.,nojo
O banheiro público estava em condições deploráveis!,nojo
A despedida no aeroporto foi muito difícil para mim.,tristeza
Tive pesadelos que me deixaram assustado.,medo
Participei de um evento divertido no fim de semana!,alegria
O céu nublado refletiu nosu estado de espírito.,tristeza
Assisti a um filme que me fez dar muitas risadas.,alegria
As lembranças antigas me fizeram sentir saudade!,tristeza
O cheiro de mofo no ambiente era insuportável.,nojo
Fui reprovado em uma prova e chorei.,tristeza
Vi água parada cheia de larvas.,nojo
Alguém não lavou as mãos após usar o banheiro.,nojo
O banheiro público estava em condições deploráveis.,nojo
Chorei assistindo a um vídeo emocionante.,tristeza
Tenho medo de perder quem amo!,medo
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Fui chamado no palco sem aviso prévio.,surpresa
Meu computador travou no pior momento possível.,raiva
Vi água parada cheia de larvas.,nojo
Descobri que passei na prova sem esperar!,surpresa
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Tive pesadelos que me deixaram assustado.,medo
Perdi meu objeto favorito e fiquei arrasado!,tristeza
Me senti inseguro ao atravessar aquela ponte.,medo
Recebi uma resposta inesperada de uma celebridade.,surpresa
O trânsito caótico me tirou do sério.,raiva
Comi algo estragado e senti náusea instantânea!,nojo
Ouvi barulhos estranhos enquanto estava sozinho.,medo
Tenho nosdo de perder quem amo.,medo
Me senti inseguro ao atravessar aquela ponte.,medo
O trânsito caótico nos tirou do sério.,raiva
Fui abordado na rua à noite e senti calafrios.,medo
